Muscle,rms,mav,wl,ssc,entropy,mean_freq,median_freq,acc_X_mean,acc_X_std,acc_X_max,acc_X_min,acc_X_rms,acc_Y_mean,acc_Y_std,acc_Y_max,acc_Y_min,acc_Y_rms,acc_Z_mean,acc_Z_std,acc_Z_max,acc_Z_min,acc_Z_rms,gyro_X_mean,gyro_X_std,gyro_X_max,gyro_X_min,gyro_X_rms,gyro_Y_mean,gyro_Y_std,gyro_Y_max,gyro_Y_min,gyro_Y_rms,gyro_Z_mean,gyro_Z_std,gyro_Z_max,gyro_Z_min,gyro_Z_rms,emg_variance,window_start,gender,run_num,exo
LBicep,0.002904043631229123,0.002316043287348987,0.5380927327886971,90,2.0503454343119305,233.07970975885704,220.325,0.1557041182925908,0.08061038608477658,0.3143807730141095,0.05674488934742447,0.17533341609062958,0.9532964348114815,0.05043546447257998,1.0163628154950013,0.8365491923048517,0.9546296814476523,0.08690326198572836,0.10183974569114193,0.24690253466371123,-0.0428445372127757,0.13387871655418795,12.808712136235687,19.02924786778811,39.999156338839946,-30.79468897887978,22.938513051256606,29.61658102883628,12.118236588909925,49.90627280645096,6.615429904999004,31.999898903940622,-7.276085086477834,8.49226916081814,12.684559718192586,-21.37753032513232,11.18302506862289,0.0001,0.0,male,2,True
LBicep,0.0034887809558170955,0.0025805114435877054,0.6651303895240976,91,1.4990828796378828,263.50928038623914,276.98,0.09845690906876602,0.027781691040849866,0.1887177125152137,0.05674488934742447,0.10230144329609674,0.9882358738466697,0.013792458165543739,1.0163628154950013,0.9446019400900942,0.9883321173875405,0.014024332442734813,0.043445251060233545,0.1374375624179906,-0.0428445372127757,0.0456527298214583,-3.3800077793779826,16.603041610459588,28.740345075624653,-36.114150067718974,16.943595937914367,21.03968450085073,7.994415306384085,39.62448872175549,4.70403882502128,22.507309923362378,1.0282913289736826,10.0225480206232,21.057437632600365,-18.988301735011163,10.075160141801245,0.0001,0.675,male,2,True
LBicep,0.0034953098923968407,0.0025826909275660764,0.649897178696601,92,1.4978931772814434,252.49966773193486,251.8,0.16941417668142095,0.0661316064534675,0.2715206309126902,0.06416932114910888,0.1818641048496377,0.9530278377114685,0.03681052683060317,1.0092645559676976,0.8907556378181922,0.9537384727159451,0.11140010452796167,0.08452114505924828,0.2150708295476449,-0.01627195060140653,0.139834928579977,-6.792475190409241,15.605285236836204,13.192617659843641,-36.114150067718974,17.019478444868486,18.80165499695943,7.932271245053592,32.833793422087204,2.8701988988674976,20.40644892502842,3.1255335644397992,9.44071268858017,21.057437632600365,-9.565353267190845,9.94464761219614,0.0001,1.35,male,2,True
LBicep,0.003449278887395268,0.002553377801804097,0.5707730359739014,98,1.643250129141003,219.58359014851638,214.03,0.1667493183643387,0.10340583897809051,0.2715206309126902,-0.08590186958595682,0.19620933390064388,0.9360483710067103,0.041574232385054366,1.1253405828343088,0.8907556378181922,0.9369711679997001,0.162391717014984,0.04615223637462387,0.2150708295476449,0.023793787843319127,0.1688226841317653,8.47069313515338,16.665785824982354,34.40921015501017,-33.207326013662104,18.69494742849301,18.37448901494234,13.642077480490961,36.312191526740264,-19.482574087022186,22.88510704681006,-6.340231259136634,9.850927999224124,19.631184889556224,-28.143850270361405,11.714918474544803,0.0001,2.025,male,2,True
LBicep,0.006779597647672969,0.004641751978373415,1.2055845619629402,109,1.560285890563037,279.7562942955169,295.865,0.12236291248285315,0.13529574668068503,0.4028078359764463,-0.09973202502189574,0.1824215486755073,0.9686089428584174,0.08101953219063289,1.168636262903212,0.7989589258861971,0.9719914859615233,0.08717540555910429,0.07595453081725617,0.2227699851120812,-0.04276530947883499,0.1156228441358533,-2.533132589710681,24.98872620305703,34.40921015501017,-41.025378059395706,25.116791155886204,2.7801695414325955,20.41600730793951,36.312191526740264,-41.44057728144693,20.60443391789614,3.0320707078172826,19.71542765372934,37.39111279477598,-28.143850270361405,19.947218862453962,0.0001,2.7,male,2,True
LBicep,0.014101455549021277,0.008654666004893386,2.409781987817674,114,1.1054485119613056,279.0079487337556,295.865,0.22551251256514643,0.16247470588424734,0.5512010348989902,-0.09973202502189574,0.2779459000878013,0.9303509645406458,0.10160705087457506,1.168636262903212,0.7746571247155118,0.9358829574306492,0.12674856540983562,0.10179543051953396,0.2790410876818491,-0.04276530947883499,0.1625653976346401,-17.965462353454875,17.32470371418627,27.566374878890368,-41.025378059395706,24.958028695346595,-6.909146557007362,13.338166007158371,29.720152779308048,-41.44057728144693,15.021417329290925,1.6114414388775595,22.91468204843356,37.39111279477598,-37.344293050621836,22.97127329713647,0.0001,3.375,male,2,True
LBicep,0.013851878752940187,0.00825882099712225,2.2062443644501553,110,1.0589888880502447,272.72058906900196,264.39,0.2899447187162431,0.11575088332688949,0.5512010348989902,0.013600689282011242,0.3121957829670294,0.8987226841399238,0.07729644844201118,1.132025936164787,0.7746571247155118,0.9020405777621192,0.21210376125355715,0.04323508852529725,0.28858876454293303,0.06688615447840147,0.21646542083597617,-8.812145929479804,14.649690616275246,20.019749425003102,-40.21972343385502,17.095828468811636,6.574286765451036,14.945065419633247,35.43425608995068,-34.729095773351766,16.327162241844174,-6.999026365101627,15.218706683383845,20.7721265547538,-37.344293050621836,16.750982155511352,0.0001,4.05,male,2,True
LBicep,0.030603078022773036,0.015752621984684054,3.989425754440278,107,1.0841931333078316,273.19647385424497,283.275,0.2410147065289629,0.09274467210721098,0.4091702398407198,0.013600689282011242,0.25824341805265083,0.9154023514292641,0.06620047556252116,1.132025936164787,0.7907934760056871,0.9177929875341877,0.25382155966502806,0.0661467128443413,0.40397012834779833,0.06688615447840147,0.26229901214243867,-7.670186762956941,12.912296002168592,20.019749425003102,-35.09317731448838,15.018626868867168,11.611905730265708,11.9027143522305,37.42931784933553,-14.333568875192132,16.628618813340196,-1.2528332804633098,10.707176410151819,20.7721265547538,-24.805078195154803,10.780223462746402,0.0001,4.725,male,2,True
LBicep,0.09831301630670636,0.04395052432015079,10.974569366293558,103,0.8090682217035302,226.7857538562882,214.03,0.2830980218946588,0.12626324448381807,0.6199972045675302,0.04395032296432447,0.30997886526059987,0.8674722714863938,0.08211715553729076,1.0879339033300421,0.6429175241275332,0.8713503136117525,0.31913674785960566,0.06561683214429971,0.4900463043885023,0.1601805376087216,0.3258125726473101,-3.447730736193733,17.359209588892487,32.31692007141529,-35.09317731448838,17.69827688732414,14.616484337515244,21.61622784550952,94.43641358126979,-23.930872957424512,26.09411659086794,-0.3598302751632343,14.269015604623942,36.27206893839825,-24.805078195154803,14.273551910856863,0.0001,5.4,male,2,True
LBicep,0.21982426097166205,0.13685411530484537,31.60514729626844,101,1.5678170156373044,241.47890702907898,258.09499999999997,0.42655436891124454,0.15776794624285984,0.772546814563415,0.04395032296432447,0.4547959481998053,0.8102973274699665,0.08746355281903168,1.0879339033300421,0.5893521184307332,0.8150040686872045,0.3538317757424896,0.08301120269025816,0.5528893124839639,0.1601805376087216,0.36343883295152507,-1.3809921347859784,30.058246978821874,43.159297359520195,-97.47135419572436,30.089954315621608,30.64318126839693,24.972149876932548,94.43641358126979,-23.930872957424512,39.52989789670364,21.852624162419183,24.245098637518005,67.87313225566155,-22.708682578272846,32.63988343617244,0.0001,6.075,male,2,True
